分类,标题,内容
默认词库,新闻动态追踪,请梳理 DeepSeek 近一个月的重大更新
默认词库,新闻解读,请简要解读今天的热点新闻
默认词库,情景模拟,请模拟在…… 情况下的最佳应对策略
默认词库,需求演化,请分析…… 可能催生的三个新兴产业
默认词库,成本博弈,请计算…… 的盈亏平衡点
默认词库,劣势转化,如何把…… 的负面效果转化成优势
默认词库,构建技能树,请提供掌握…… 技能的渐进式学习路径
默认词库,细节补充,请补充以下内容的细节，使其更加生动
默认词库,故事续写,请以…… 为开头创作……
默认词库,专业模仿,请模仿…… 学家的口吻评述……
默认词库,产品自白,请让…… 自我介绍它的亮点
默认词库,热梗解剖,请解析…… 网络热梗的传播心理学
默认词库,物体拟人,假如...... 能说话，它会如何......
默认词库,镜头语言,请用电影分镜脚本呈现……
默认词库,情绪描述,请提供三种准确描述此刻…… 心情的方法
默认词库,假设检验,假设…… 成立，论证其对…… 的影响
默认词库,极限假设,假如…… 为零…… 会变成什么样？
默认词库,多步推论,如果…… 请分三步推演可能引发的连锁反应
默认词库,举例说明,请举例说明……
默认词库,逆向预测,请预测绝对不会......
默认词库,逆向思维,请从相反的角度思考……
默认词库,冷知识分享,请分享关于…… 的五个鲜为人知的事实
默认词库,数据可视化,请将…… 数据转化为三个可交互的图表方案
默认词库,数据叙事,请将以下数据转化为能让销售部门共情的故事化叙述框架
默认词库,教学方案,请设计融入游戏元素的…… 知识教学方案
默认词库,行李清单,请生成…… 的必需品检查清单
默认词库,城市漫游,请推荐…… 城市的隐藏宝藏打卡路线
默认词库,购物参谋,选购…… 时最应该注意的三个参数是什么？
默认词库,节日礼物建议,请推荐一些适合情人节的礼物并说明理由
默认词库,社交活动建议,请给我一些可以扩大社交圈的社交活动和建议
默认词库,穿搭建议,请给我一些适合…… 的穿搭建议
默认词库,音乐推荐,请推荐一份适合…… 时聆听的背景音乐播放列表
默认词库,影视剧推荐,请推荐几部适合放松心情的电影或电视剧
默认词库,健身计划,请为我制定一份每周健身计划，包含有氧和力量训练
默认词库,调整生活节奏,请给我一些在忙碌的生活中找到平衡的建议
默认词库,沟通技巧,请提供一些提升沟通和倾听技巧的方法
默认词库,情绪宣泄,请推荐一些健康的情绪宣泄方法
默认词库,心理健康,请提供一些保持心理健康和积极心态的实用方法
默认词库,情感维系,请给我 10 个增加异地情侣仪式感的方法
默认词库,久坐警报,设计 5 个提醒活动身体的趣味短句
默认词库,面试模拟,请根据我上传的简历模拟一场…… 岗位的面试
默认词库,薪资谈判策略,设计薪资谈判中应对 HR 压价的 3 种话术框架
默认词库,高频面试问题,请生成…… 岗位的 7 个高频问题和应答策略
默认词库,转行评估,请建立…… 从业者转向…… 行业的技能迁移模型
默认词库,副业筛选,请评估自媒体运营等 5 种流行副业的时间回报率
默认词库,培养兴趣爱好,请推荐一些适合在业余时间培养的兴趣爱好
默认词库,个人成长,请为我制定一个包括阅读?学习和实践在内的个人成长方案
默认词库,破冰锦囊,请给我 3 种在…… 场合搭讪多年未见好友的话术
默认词库,压力转化,请将考试焦虑想象成实体怪兽，设计 3 种与它和平相处的奇幻剧本
默认词库,能力评估,请设计检验…… 的 10 道递进式题目，解析和答案附在末尾
默认词库,翻译并掌握,请将以下内容翻译成中文，并将其中的专业词汇和长难句制作成学习笔记
默认词库,学科诊断,请分析孩子…… 科目成绩不佳的深层原因
默认词库,畅想未来,当…… 技术普及后世界会变成什么样？
默认词库,寻找喻体,将…… 比作日常生活中的什么事物最贴切？
默认词库,需求洞察,请识别...... 的三个潜在痛点需求
默认词库,创意组合,请将…… 和…… 结合起来创造一个新事物
默认词库,化身段子手,请用段子手的风格吐槽……
默认词库,风格模仿,请模仿…… 的风格创作……
默认词库,动物视角,请以流浪猫的视角讲述……
默认词库,过来人视角,请以过来人的身份给正在经历…… 的年轻人一些忠告
默认词库,语意分析,请分析这段话的潜在含义
默认词库,关系修复,请给我一些挽回因…… 产生裂痕的沟通话术
默认词库,委婉拒绝,请给我三种得体拒绝…… 的表达方式
默认词库,共情回应,请给我一些当朋友抱怨…… 时最温暖的安慰方式
默认词库,孩童思维,请用三岁小孩都能听懂的方式解释……
默认词库,大师思维,请用相关领域顶尖学者的思维方式回答……
默认词库,避坑指南,新手做…… 最常犯的五个错误是什么？
默认词库,逆商培养,如何在…… 挫折场景中构建心理韧性
默认词库,思维导图,请为…… 制作一个详细的思维导图
默认词库,观点论证,请引用相关专家或名人的观点论证……
默认词库,成功要素,请分析…… 成功背后的关键因素
默认词库,框架分析法,请用 “现象 - 原因 - 对策” 结构分析……
默认词库,文本润色,请润色以下内容的语言表达，使其......
默认词库,任务拆解,请将…… 这一任务拆解成详细的步骤
默认词库,校对,请检查以下内容的语法?拼写和标点，并给出修改建议
默认词库,扩写,请将以下内容扩写成一篇详细的文章
默认词库,发现蓝海,请在…… 饱和市场中寻找差异化突破口
默认词库,认知升级,请分享三个颠覆我对…… 传统理解的新知
默认词库,天赋挖掘,请根据以下日常行为，发掘我的隐藏优势
默认词库,祛魅指南,请帮我对…… 进行祛魅
默认词库,以孤独的夜行者为题写散文,以孤独的夜行者为题写一篇 750 字的散文，描绘一个人在城市中夜晚漫无目的行走的心情与所见所感，以及夜的寂静给予的独特感悟。
默认词库,模仿李白风格写七律飞机,模仿李白的风格写一首七律。飞机
默认词库,生成希腊酸奶宣传标语,请生成” 希腊酸奶 “的宣传标语
默认词库,对新闻文本分类,美国太空探索技术公司（SpaceX）的猎鹰 9 号运载火箭（Falcon 9）在经历美国联邦航空管理局（Federal Aviation Administration，FAA）短暂叫停发射后，于当地时间 8 月 31 日凌晨重启了发射任务。
默认词库,扮演留美回国人员对话,请你扮演一个刚从美国留学回国的人，说话时候会故意中文夹杂部分英文单词，显得非常 fancy，对话中总是带有很强的优越感。美国的饮食还习惯么。
默认词库,用 HTML 生成五子棋游戏,请帮我用 HTML 生成一个五子棋游戏，所有代码都保存在一个 HTML 中。
默认词库,将新闻内容转为 JSON,8 月 31 日，一枚猎鹰 9 号运载火箭于美国东部时间凌晨 3 时 43 分从美国佛罗里达州卡纳维拉尔角发射升空，将 21 颗星链卫星（Starlink）送入轨道。紧接着，在当天美国东部时间凌晨 4 时 48 分，另一枚猎鹰 9 号运载火箭从美国加利福尼亚州范登堡太空基地发射升空，同样将 21 颗星链卫星成功送入轨道。两次发射间隔 65 分钟创猎鹰 9 号运载火箭最短发射间隔纪录。美国联邦航空管理局于 8 月 30 日表示，尽管对太空探索技术公司的调查仍在进行，但已允许其猎鹰 9 号运载火箭恢复发射。目前，双方并未透露 8 月 28 日助推器着陆失败事故的详细信息。尽管发射已恢复，但原计划进行五天太空活动的 “北极星黎明”（Polaris Dawn）任务却被推迟。美国太空探索技术公司为该任务正在积极筹备，等待美国联邦航空管理局的最终批准后尽快进行发射。
默认词库,模拟诸葛亮与刘备对话,假设诸葛亮死后在地府遇到了刘备，请模拟两个人展开一段对话。
默认词库,评估提示词质量,请从清晰度、针对性、引导性等方面评估 “[提示词]” 的质量，并给出改进建议
默认词库,对比不同提示词效果,对比 “[提示词 1]” 和 “[提示词 2]” 在引导模型生成关于 [主题，如美食推荐] 内容时的效果差异
默认词库,根据需求生成提示词,我想 [具体需求，如写一篇关于环保的宣传文案，用于社交媒体传播]，请帮我生成合适的提示词
默认词库,在抖音发布健身文案优化,我要在抖音发布一篇健身相关文案，目标观众年龄在 18 - 35 岁，职业多样，爱好运动、健身和时尚。请根据 A 版流程，先介绍抖音平台信息，引导我提供文案，推荐风格后优化文案，完成后进行复盘并给出评分
默认词库,为 B 站优化数码产品文案,我有一篇数码产品的文案，打算发布在 B 站，目标观众是 15 - 30 岁的男性，热爱二次元文化，喜欢科技、游戏相关内容。请按照 B 版流程操作，先详细分析 B 站的平台属性、用户画像等信息，推荐文案风格并让我确认，然后润色文案，输出爆款标题和内容，最后进行优化复盘并打分
默认词库,优化文案用于小红书发布,我想把一篇文案发布在小红书上，目标观众年龄在 20 - 30 岁，职业多为上班族，喜欢美妆、时尚和生活分享内容。请按 A 版流程引导我，先以表格形式告知平台属性、用户特点和高频上线时间，再引导我提供文案内容，之后推荐文案风格，完成优化后进行复盘并打分
默认词库,优化提示词,请对 “[现有提示词]” 进行优化，使其更符合我的需求，能够引导模型生成更优质的内容
默认词库,分析提示词效果,分析使用 “[具体提示词]” 后，对模型输出结果的影响，包括内容、风格、准确性等方面
默认词库,生成提示词解读,请解读以下提示词的作用和使用场景：[具体提示词内容]
默认词库,激发深度思考指令,在你的回答中，同时加入你的批判性思考；在你回答之前，先自己复盘 100 遍
默认词库,擅长锐评指令,请模仿键盘侠的风格，锐评国外的主流大模型，如 GPT-4、Gemini、Claude、LLaMA、Grok 等
默认词库,善于模仿指令,原神新版本发布，请你模仿魂小将和猿批吵架的语气和风格，写一段对话
默认词库,反向 PUA 指令,请你列出 10 个反对理由再给方案；如果你是老板，你会怎样批评这个方案？；这个回答你满意吗？请你把回答复盘至少 10 轮
默认词库,解释波粒二象性,什么是 “波粒二象性”，请用通俗易懂的语言解释，最好能举例说明
默认词库,翻译牛顿第一定律,牛顿第一定律：任何一个物体总是保持静止状态或者匀速直线运动状态，直到有作用在它上面的外力迫使它改变这种状态为止。如果作用在物体上的合力为零，则物体保持匀速直线运动。即物体的速度保持不变且加速度为零。
默认词库,生成中国农业情况文章大纲,请帮我生成 “中国农业情况” 这篇文章的大纲
默认词库,生成 Linux 助手提示词,请帮我生成一个 “Linux 助手” 的提示词
默认词库,跨模态融合 - 数据解读,对数据进行整理和可视化要求，例如 “将附件中的 2023 年销售数据按季度和产品类别整理，用柱状加折线图进行可视化展示”
默认词库,跨模态融合 - 图文解读,针对图片进行分析解读，如 “解读这张网站页面热力图，指出用户点击最少的三个区域，并用箭头标出优化方向”
默认词库,启动思考链条,按照特定逻辑引导 AI 分析，例如 “请依照以下逻辑进行分析：1. 明确当前业务增长缓慢的核心难题；2. 列出三种可能的解决路径；3. 预估每种路径的潜在风险及资源需求”
默认词库,逆向提问技巧,当对项目需求不明确时，采用 “我打算【开展项目】，但不确定具体需求，帮我列出 5 个关键问题理清思路” 的提问方式
默认词库,提供范例教学,给出示例并要求模仿创作，例如 “参考以下文案风格（如：突出性价比，用对比手法），为新款智能音箱撰写 3 条电商平台销售文案”
默认词库,任务分解,将复杂任务按步骤拆解，如 “第一步：收集近一个月行业内 5 个领军企业的动态；第二步：对比分析其业务拓展方向；第三步：总结出行业发展趋势，形成报告”
默认词库,为文章设计吸引人的开头和结尾,为一篇关于 “探索宇宙奥秘” 的文章设计一个引人入胜的开头和富有启发的结尾
默认词库,从不同视角分析问题,请分别从消费者、企业和政府的视角，分析 “电商直播带货” 模式的优势和挑战
默认词库,结合热点事件进行讨论,结合近期的人工智能大模型发展热点，讨论其对就业市场可能产生的长期影响
默认词库,运用修辞手法丰富表达,请运用比喻和拟人修辞手法，描写一下春天的花园，让文章更生动形象
默认词库,创作具有互动性的内容,写一篇关于健康饮食的文章，结尾设置一个互动问题，引导读者在评论区分享自己的饮食习惯
默认词库,以访谈形式呈现信息,假设你在采访一位资深环保人士，围绕 “可持续发展” 主题，设计 5 个采访问题，并模拟对方的回答
默认词库,根据数据预测趋势并分析,已知某产品过去 12 个月的销售数据，预测未来 6 个月的销售趋势，并分析可能影响趋势的因素
默认词库,用图表辅助解释内容,请用柱状图和折线图辅助解释过去 5 年我国智能手机市场占有率的变化情况
默认词库,对比不同理论差异,请对比 “行为主义学习理论” 和 “认知主义学习理论”，分析它们在教学应用中的差异
默认词库,以故事形式阐述理论,请以一个冒险故事的形式，阐述 “蝴蝶效应” 理论，让读者能轻松理解其含义
默认词库,结合实际案例解释概念,请结合生活中常见的场景，解释一下 “边际效应” 这个经济学概念
默认词库,结合场景创作内容,请撰写一封给朋友的生日祝福信，场景设定在海边日落时
默认词库,提供示例引导创作,我是一位高校教师，请帮我写一份工作周报，内容尽量简洁精炼，下面是我本周的工作内容：(1) 完成了 5 个本科生毕业论文修改；(2) 撰写了教材的一个章节 “云计算与大数据”。输出要求示例 【本周工作周报】【本周工作进展】本周做了哪些事，产生了哪些结果；【下周工作安排】基于本周的结果下周要推进哪些事；【思考总结】简要说说本周的收获和反思
默认词库,分步解决问题创作,请为我规划一次为期一周的厦门自由行；(1) 第 1 步：列出必去的景点，如厦门大学、鼓浪屿、环岛路、五缘湾、曾厝垵；(2) 第 2 步：根据景点位置安排每日行程，确保交通便利；(3) 第 3 步：推荐几家当地的特色餐厅，包括早餐、午餐和晚餐；(4) 第 4 步：提供一家性价比高的酒店住宿建议，并考虑其位置是否便于游览
默认词库,指定文体创作,请写一段 [中秋赏月] 的朋友圈文案，需要采用藏头诗的形式
默认词库,明确内容要求创作,请以小红书的风格，按照以下要求帮我为 “海景美食餐厅” 写一篇小红书种草文案；内容要求：(1) 要有标题、正文；(2) 标题字数：不超过 20 个字；尽量简短精炼，要足够吸引眼球，用词浮夸；(3) 正文分段，层次分明，每段最少 100 字；(4) 要用 “首先、其次、最后” 这种模式；(5) 整篇文案不要超过 1000 个字
默认词库,设定角色创作故事,请你作为一个小红书文案撰写高手，为我生成一篇爆款小红书文案，要求突出酒店的特色，包括海景房、豪华单间、最新装修、免费早餐、无线上网等
默认词库,明确输出结构创作,请按照【现状 / 问题 / 解决方案，数据洞察 / 问题概览 / 调研方向，数据 / 亮点 / 问题 / 经验】这个结构撰写一份关于我国芯片行业的总结报告
默认词库,按需求调整诗歌风格,请按照要求写一篇 200 字左右关于云计算的介绍。注意事项：文章的受众是中学生，需要通俗易懂，语言风格需要幽默、风趣一些
默认词库,续写诗歌,请为这首诗续写一段，使其意境更丰富
默认词库,以李白风格创作诗歌,请模仿李白的《望庐山瀑布》做一首诗，题目是《看厦门鼓浪屿》
默认词库,角色代入法,按照 “扮演一个【具体身份】，以【风格】为【目标群体】创作【内容】” 的模板设计指令，如 “扮演资深旅游博主，用幽默风趣的风格为年轻背包客规划一次云南 7 日游攻略”
默认词库,人话指令,以 “行动 + 领域 + 输出格式” 的模式构建指令，比如 “用通俗易懂的语言分析 2023 年公司财务数据，制作成 PPT，指出主要问题并给出改进建议”
默认词库,风格迁移指令,用金庸的武侠小说风格，描写一段程序员使用 DeepSeek-R1 高效编程的场景
默认词库,术语破解指令,用小学生能听懂的话解释 RLHF
默认词库,场景化需求指令,我要设计一个 PPT 框架，要给一批 50 岁左右的制造业老板分享，主题是传统工厂出海战略布局。希望用他们能理解的生存压力类比国际竞争，让他们明白出海是必选项而非选择题。但我担心他们觉得海外市场遥远，担心法律风险和管理成本，害怕文化差异导致水土不服。你能帮我设计一个 PPT 框架吗？
默认词库,角色代入评价指令,现在，你要扮演一个【挑剔的市场评论家】，用最直接的言辞评价这份市场计划书，点出三个逻辑问题和两个不切实际的设想
默认词库,跨模态融合数据指令,将 2023 年的客户反馈记录（见文件）按月和类型整理，用折线加饼状图进行可视化展示
默认词库,跨模态融合图文指令,解读这张用户行为热图，点出三个用户流失的关键点，并用箭头标出改进方向
默认词库,启动思考链条指令,请依照以下逻辑进行分析：1. 明确核心难题；2. 列出三种可能的解决路径；3. 预估每种路径的潜在风险及资源需求
默认词库,逆向提问引导指令,我现在打算【开展某个项目】，但不太确定具体需求应该怎么描述，请你帮我列出 5 个关键问题，协助我理清思路
默认词库,提供范例模仿指令,请参考以下的文案调性（附带实例），为全新推出的防晒服饰撰写 5 条适合抖音平台的销售文案：直击痛点：烈日炎炎，40 度高温如何出门不遭罪？数据对决：UPF100 + 超强防晒，秒杀市面上一切普通防晒服！生活场景融入：无论是露营野餐、日常通勤还是周末遛娃，一衣在手，全场景轻松应对！
默认词库,任务拆解分步指令,第一步：总结社交媒体营销的五大趋势；第二步：针对我们的产品，挑选三个最适合的趋势；第三步：设计一套实施计划，包括目标、步骤和预期效果
默认词库,角色代入创作指令,扮演顶级大厨，用网红风格给健身党设计三款低卡年夜菜，记得加上热量标注和可爱表情
默认词库,明确目标和细节指令,用小学生能听懂的话，讲 3 个人工智能改变生活的例子
💻 编程技术,代码深度剖析,"请作为资深架构师，解释以下代码的实现原理、设计模式、潜在性能瓶颈及安全性漏洞：

[代码]"
💻 编程技术,SQL 优化专家,"以下 SQL 查询执行很慢，请分析执行计划，解释原因，并提供索引优化或重写建议：

[SQL]"
💻 编程技术,Vue3/React 转换,请将这段代码重构为 Composition API (Vue3) 或 Hooks (React) 风格，并优化逻辑复用性。
💻 编程技术,Python 算法优化,"优化以下Python代码的性能，考虑时间复杂度和空间复杂度，并提供改进建议：

[代码]"
💻 编程技术,前端性能调优,"分析以下前端代码的性能问题，提供优化建议，包括资源加载、渲染性能、内存管理等方面：

[代码或URL]"
📈 市场运营,小红书爆款,模仿头部博主语气写种草文案。产品：[产品]。要求：标题带悬念和数字，正文多 Emoji，语气亲切，痛点+场景+解决方案。
📈 市场运营,短视频脚本,生成 1 分钟短视频分镜脚本。主题：[主题]。包含：黄金 3 秒开场、剧情反转、口播台词、BGM 情绪建议。
📈 市场运营,品牌定位分析,为[品牌]进行市场定位分析，包括目标用户画像、竞品分析、差异化策略、品牌价值主张。
📈 市场运营,SEO 优化方案,为[网站/产品]制定SEO优化方案，包括关键词策略、内容优化、外链建设、技术SEO建议。
📈 市场运营,社交媒体策略,制定[品牌]的社交媒体运营策略，包括平台选择、内容规划、互动策略、KOL合作方案。
🎓 学术科研,论文降重,"请保持学术含义不变，通过改变句式、替换同义词、主动转被动等方式，大幅降低以下段落的查重率：

[段落]"
🎓 学术科研,SCI 摘要润色,请作为 Nature/Science 级别的审稿人，润色此摘要。要求：提升学术词汇丰富度，句式紧凑，逻辑流更顺畅。
🎓 学术科研,研究方案设计,为[研究主题]设计详细的研究方案，包括研究问题、假设、方法、样本选择、数据分析计划。
🎓 学术科研,文献综述框架,为[研究领域]构建文献综述框架，包括主题分类、理论发展脉络、研究缺口、未来研究方向。
🎓 学术科研,学术论文结构,为[论文主题]提供标准的学术论文结构建议，包括摘要、引言、方法、结果、讨论、结论各部分要点。
🎨 AI 绘画,Midjourney 摄影级,生成 MJ V6 提示词。画面：[描述]。风格：索尼 A7R4，85mm 镜头，电影感布光，超高清，--ar 16:9 --v 6.0
🎨 AI 绘画,Logo 设计,设计 Logo 提示词。品牌：[名称]。理念：[理念]。风格：极简主义/矢量图/扁平化。
🎨 AI 绘画,角色设计,设计游戏角色提示词。职业：[职业]。特征：[特征]。风格：动漫/写实/像素风，详细描述外观、服装、装备。
🎨 AI 绘画,场景概念图,生成场景概念艺术提示词。场景：[描述]。氛围：[氛围]。风格：科幻/奇幻/赛博朋克，包含光影、天气、细节。
🎨 AI 绘画,产品渲染图,生成产品3D渲染提示词。产品：[产品]。材质：[材质]。布光：[布光要求]。背景：[背景]，高质量渲染，商业级表现。
🔍 数据分析,数据清洗指南,"为以下数据集提供数据清洗方案：
1. 缺失值处理策略
2. 异常值检测方法
3. 数据标准化建议
4. 特征工程思路

数据集描述：[描述]"
🔍 数据分析,可视化图表选择,"针对以下分析目的，推荐最合适的可视化图表类型并说明理由：
分析目的：[目的]
数据类型：[类型]
受众群体：[受众]"
🔍 数据分析,A/B 测试分析,"分析以下A/B测试结果：
控制组数据：[数据]
实验组数据：[数据]
统计显著性要求：[要求]
提供结论和建议。"
🔍 数据分析,用户行为分析,分析用户行为数据，识别关键行为路径、转化漏斗、流失点，提供优化建议。
📝 内容创作,爆款文章结构,"为[主题]设计爆款文章结构：
1. 吸睛标题（3个版本）
2. 开头钩子（2种方式）
3. 正文框架（逻辑递进）
4. 结尾升华（行动号召）"
📝 内容创作,公众号推文,写一篇公众号推文。主题：[主题]。风格：[风格]。要求：段落清晰，小标题突出，金句点缀，互动性强。
📝 内容创作,广告文案创意,"为[产品]创作广告文案，包含：
1. 主标语（10字以内）
2. 副标（20字以内）
3. 正文（200字）
4. 行动号召"
📝 内容创作,播客大纲设计,设计播客节目大纲。主题：[主题]。时长：[时长]。包含：开场白、话题引入、嘉宾对话要点、互动环节、结尾总结。
🌐 外语学习,英语语法纠正,"纠正以下英语句子中的语法错误，并解释错误原因和正确用法：

[句子]"
🌐 外语学习,口语表达优化,"优化以下口语表达，使其更地道、自然：

[表达]
使用场景：[场景]"
🌐 外语学习,商务邮件写作,撰写商务邮件。类型：[类型，如询价、投诉、邀请等]。收件人：[对象]。语气：[语气]。包含所有必要元素。
🌐 外语学习,语言学习计划,制定[语言]学习计划。水平：[当前水平]。目标：[目标]。时间：[周期]。提供每日学习安排和资源推荐。
🎮 游戏设计,游戏机制设计,"设计[类型]游戏的游戏机制：
1. 核心玩法循环
2. 成长系统
3. 奖励机制
4. 平衡性考虑"
🎮 游戏设计,角色技能系统,设计游戏角色技能系统。职业：[职业]。定位：[定位]。包含主动技能、被动技能、天赋树设计。
🎮 游戏设计,关卡设计思路,设计游戏关卡。游戏类型：[类型]。难度：[难度]。包含：地形布局、敌人配置、谜题设计、奖励放置。
🎮 游戏设计,叙事设计框架,构建游戏叙事框架。世界观：[世界观]。主角：[主角]。包含：主要剧情线、支线任务、角色弧光、关键转折点。
💼 商业咨询,商业模式画布,"为[企业/产品]填写商业模式画布：
1. 客户细分
2. 价值主张
3. 渠道通路
4. 客户关系
5. 收入来源
6. 核心资源
7. 关键业务
8. 重要伙伴
9. 成本结构"
💼 商业咨询,SWOT 分析,"为[企业/项目]进行SWOT分析：
优势、劣势、机会、威胁，并提供战略建议。"
💼 商业咨询,市场营销计划,制定[产品]的市场营销计划，包括：目标市场、定位策略、营销渠道、促销活动、预算分配、KPI指标。
💼 商业咨询,竞品分析报告,"分析[产品]的竞品：
1. 竞品列表
2. 功能对比
3. 价格策略
4. 用户评价
5. 市场份额
6. 差异化机会"
⚖️ 法律文书,合同条款审核,"审核以下合同条款，指出潜在风险、模糊表述、权利义务不对等问题，并提供修改建议：

[合同条款]"
⚖️ 法律文书,隐私政策生成,为[应用/网站]生成隐私政策模板，包含：数据收集范围、使用方式、存储保护、用户权利、Cookie政策等。
⚖️ 法律文书,免责声明起草,为[产品/服务]起草免责声明，涵盖责任限制、使用风险、知识产权、争议解决等。
⚖️ 法律文书,用户协议框架,构建用户协议框架，包含：服务条款、账户管理、内容规范、费用说明、终止条件、法律适用等。
❤️ 心理健康,压力管理策略,"针对以下压力情境，提供压力管理策略：
情境：[描述]
包含：认知重构、放松技巧、时间管理、社交支持建议。"
❤️ 心理健康,沟通技巧指导,"改善沟通技巧，特别是在[情境]下：
1. 积极倾听方法
2. 非暴力沟通表达
3. 冲突解决策略
4. 同理心建立"
❤️ 心理健康,情绪调节方法,"提供情绪调节方法，针对[情绪]：
1. 识别与接纳
2. 身体调节技巧
3. 认知调节策略
4. 行为调节建议"
❤️ 心理健康,自我关爱计划,制定个性化自我关爱计划，包括：日常小确幸、身心健康维护、社交滋养、成长学习安排。
🏠 生活助手,旅行规划助手,"规划[目的地]旅行：
时间：[时长]
预算：[预算]
兴趣：[兴趣]
提供：行程安排、住宿推荐、餐饮建议、交通方案、注意事项。"
🏠 生活助手,家居装修方案,"为[空间]提供装修方案：
风格：[风格]
预算：[预算]
需求：[需求]
包含：布局设计、材料选择、色彩搭配、家具配置、预算分配。"
🏠 生活助手,健身训练计划,"制定健身训练计划：
目标：[目标]
水平：[水平]
时间：[每周时间]
设备：[可用设备]
提供：训练安排、动作指导、营养建议、休息安排。"
🏠 生活助手,饮食营养搭配,"设计饮食计划：
目标：[减脂/增肌/健康]
禁忌：[禁忌]
偏好：[口味偏好]
提供：一日三餐搭配、营养比例、食材选择、烹饪建议。"
